id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
1,COMP_M,SimpleCase,ServiceA,M.A,0,2,1,0,Sensor,0.004119505659320882,110.001,110.00511950565932,100.0,110.001
1,SINK_M,SimpleCase,Actuator,M.B,2,1,0,2,ServiceA,0,111.00561950565933,111.00561950565933,110.00511950565932,111.00561950565933
2,COMP_M,SimpleCase,ServiceA,M.A,0,2,1,0,Sensor,0.004119505659320882,210.001,210.00511950565934,200.0,210.001
2,SINK_M,SimpleCase,Actuator,M.B,2,1,0,2,ServiceA,0,211.00561950565933,211.00561950565933,210.00511950565934,211.00561950565933
3,COMP_M,SimpleCase,ServiceA,M.A,0,2,1,0,Sensor,0.004119505659320882,310.001,310.0051195056593,300.0,310.001
3,SINK_M,SimpleCase,Actuator,M.B,2,1,0,2,ServiceA,0,311.0056195056593,311.0056195056593,310.0051195056593,311.0056195056593
4,COMP_M,SimpleCase,ServiceA,M.A,0,2,1,0,Sensor,0.004119505659320882,410.001,410.0051195056593,400.0,410.001
4,SINK_M,SimpleCase,Actuator,M.B,2,1,0,2,ServiceA,0,411.0056195056593,411.0056195056593,410.0051195056593,411.0056195056593
5,COMP_M,SimpleCase,ServiceA,M.A,0,2,1,0,Sensor,0.004119505659320882,510.001,510.0051195056593,500.0,510.001
5,SINK_M,SimpleCase,Actuator,M.B,2,1,0,2,ServiceA,0,511.0056195056593,511.0056195056593,510.0051195056593,511.0056195056593
6,COMP_M,SimpleCase,ServiceA,M.A,0,2,1,0,Sensor,0.004119505659320882,610.001,610.0051195056593,600.0,610.001
6,SINK_M,SimpleCase,Actuator,M.B,2,1,0,2,ServiceA,0,611.0056195056593,611.0056195056593,610.0051195056593,611.0056195056593
7,COMP_M,SimpleCase,ServiceA,M.A,0,2,1,0,Sensor,0.004119505659320882,710.001,710.0051195056593,700.0,710.001
7,SINK_M,SimpleCase,Actuator,M.B,2,1,0,2,ServiceA,0,711.0056195056593,711.0056195056593,710.0051195056593,711.0056195056593
8,COMP_M,SimpleCase,ServiceA,M.A,0,2,1,0,Sensor,0.004119505659320882,810.001,810.0051195056593,800.0,810.001
8,SINK_M,SimpleCase,Actuator,M.B,2,1,0,2,ServiceA,0,811.0056195056593,811.0056195056593,810.0051195056593,811.0056195056593
9,COMP_M,SimpleCase,ServiceA,M.A,0,2,1,0,Sensor,0.004119505659320882,910.001,910.0051195056593,900.0,910.001
9,SINK_M,SimpleCase,Actuator,M.B,2,1,0,2,ServiceA,0,911.0056195056593,911.0056195056593,910.0051195056593,911.0056195056593
